norm_key,ziel,anzahl_records,korrigierte_records,varianten
W2700150KW,W-2700 150 kW,3,1,"W-2700 150 kW:2 || W - 2700 , 150 kW:1"
E822300,E82 2300,2,1,E82 2300:1 || E82-2.300:1
ANTARIS65,"Antaris 6,5",5,1,"Antaris 6,5:4 || Antaris 6.5:1"
V802000,V80-2000,2,1,V80 - 2.000:1 || V80-2000:1
VESTASV13642MW,"Vestas V136 4,2MW",12,1,"Vestas V136 4,2MW:11 || Vestas V136-4.2MW:1"
ANTARIS60KW,"Antaris 6,0 KW",2,1,"Antaris 6.0 KW:1 || Antaris 6,0 KW:1"
V902000,V90-2000,4,1,V90-2000:3 || V90.2000:1
V90/20MW,"V90/2,0 MW",5,1,"V90/2,0 MW:4 || V90/2.0 MW:1"
S46/600,S46/600,2,1,S.46/600:1 || S46/600:1
V80NH100,V80 NH 100,2,1,"V 80, NH 100:1 || V80 NH 100:1"
E40/44,E40/44,2,1,"E40/44:1 || E-40/,44:1"
ENERCONE82E223MW,"ENERCON E-82E2 2,3MW",6,1,"ENERCON E-82E2 2,3MW:5 || ENERCON E-82 E2 2.3MW:1"
55,"5,5",2,1,"5,5:1 || 5.5:1"
E160EP5,E-160 EP5,15,1,"E-160 EP5:14 || E 160, EP 5:1"
TW15,TW 1.5,5,1,"TW 1.5:4 || TW 1,5:1"
V1506MW,V 150-6MW,8,1,V 150-6MW:7 || V150 6. MW:1
N13348MW,N133-4.8 MW,5,1,"N133-4.8 MW:4 || N 133, 4,8 MW:1"
VESTASV15056MW,Vestas V150-5.6MW,5,1,"Vestas V150-5.6MW:4 || Vestas V150-5,6MW:1"
N117/36,N117/3.6,8,1,"N117/3.6:7 || N117/3,6:1"
N163/5X,N163/5.X,44,1,"N163/5.X:43 || N163/5.X,:1"
VESTASV15056,Vestas V 150-5.6,5,1,"Vestas V 150-5.6:4 || Vestas V-150 5,6:1"
SMARTWINDSW75,"smartWind SW 7,5",2,1,"Smart-Wind SW-7.5:1 || smartWind SW 7,5:1"
V16272,V162-7.2,90,1,"V162-7.2:89 || V 162 7,2:1"
NORDEXN14957,Nordex N149-5.7,7,1,"Nordex N149-5.7:6 || Nordex N 149-5,7:1"
VESTASV15060MWNH169M,"Vestas V150 6,0MW NH169m",6,1,"Vestas V150 6,0MW NH169m:5 || Vestas V150 6.0MW NH 169m:1"
HAWTLEERLÄUFERFAHNENLOS,"HAWT, Leerläufer, Fahnenlos",4,1,"HAWT, Leerläufer, Fahnenlos:3 || HAWT, Leerläufer fahnenlos:1"
MIKROWINDKRAFTANLAGESKYWINDNG,Mikrowindkraftanlage Skywind NG,3,1,"Mikrowindkraftanlage Skywind NG:2 || Mikrowindkraftanlage, Skywind NG:1"
NORDEXN13348STE,Nordex N133-4.8 STE,7,1,"Nordex N133-4.8 STE:6 || Nordex N133 4,8 STE:1"
E138EP3E2/13825/4200,"E138 EP3 E2/138,25/4200",2,1,"E138 EP3 E2/138.25/4200:1 || E138 EP3 E2/138,25/4200:1"
VESTASV117345MW,Vestas V117 3.45MW,5,1,"Vestas V117 3.45MW:4 || Vestas V117-3,45 MW:1"
N175/6X,N175/6.X,103,1,N175/6.X:102 || N175/6X:1
V17272MW175MNH,"V172, 7,2MW, 175m NH",13,1,"V172, 7,2MW, 175m NH:12 || V172-7.2MW, 175m NH:1"
ENVENTUSV17272MW,"Enventus V172 7,2 MW",3,1,"Enventus V172 7,2 MW:2 || EnVentus V172-7.2 MW:1"
NORDEXN17568MW,Nordex N175-6.8 MW,3,1,"Nordex N175-6.8 MW:2 || Nordex N175, 6,8 MW:1"
NORDEXN13348MW,"Nordex N133-4,8MW",2,1,"Nordex N133-4.8MW:1 || Nordex N133-4,8MW:1"
N16370MWNH164M,"N163-7,0MW NH 164m",2,1,"N163-7,0MW NH 164m:1 || N163-7.0MW NH 164m:1"
